Identifier	Name	GO_Term
R-HSA-141351	PAOX:FAD oxidises NASPN to SPM	GO:0052903
R-HSA-141367	Myristoylation of tBID by NMT1	GO:0019107
R-HSA-1433374	Processing of SCF isoform 1	GO:0004175
R-HSA-1433415	Activation of RAC1	GO:0005085
R-HSA-1433418	Phosphorylation of JAK2	GO:0004713
R-HSA-1433454	Phosphorylation of GAB2 by SFKs	GO:0004713
R-HSA-1433471	Activation of RAS by p-KIT bound SOS1	GO:0005085
R-HSA-1433488	Phosphorylation of SHP2 by SFKs	GO:0004713
R-HSA-1433506	Phosphorylation of APS	GO:0004713
R-HSA-1433508	PKC alpha interacts with and phosphorylates KIT	GO:0004698
R-HSA-1433514	Synthesis of PIP3 from PIP2 by PI3K	GO:0016303
R-HSA-1433542	Phosphorylation and activation of VAV1	GO:0004713
R-HSA-143468	MEOS oxidizes ethanol to acetaldehyde	GO:0004497
R-HSA-1445143	RAB8A,10,13,14 hydrolyze GTP	GO:0003924
R-HSA-1445144	p-AKT1,p-AKT2 phosphorylates AS160 (TBC1D4)	GO:0004674
R-HSA-1449597	p-AKT2 phosphorylates Myosin 5A	GO:0004674
R-HSA-1449687	Corticosteroids bind to CBG in blood	GO:0140104
R-HSA-1454699	AMPK-alpha2 phosphorylates TBC1D1	GO:0004674
R-HSA-1454757	Gelatin degradation by MMP1, 2, 3, 7, 8, 9, 12, 13	GO:0004222
R-HSA-1454822	Collagen type I degradation by MMP1,2,8,13, PRSS2	GO:0004222
R-HSA-1454843	E-cadherin degradation by MMP3, MMP7 and plasmin	GO:0004252
R-HSA-1454916	The ABCC family mediates organic anion transport	GO:0042626
R-HSA-1454928	ABCG4 may mediate cholesterol efflux	GO:0120020
R-HSA-1458433	Collagen type I degradation by MMP14	GO:0004222
R-HSA-1458463	p-AKT2 phosphorylates RGC2	GO:0004674
R-HSA-1458485	RALA hydrolyzes GTP	GO:0003924
R-HSA-1461993	pro-HD5 is cleaved by trypsin	GO:0008236
R-HSA-1467457	ABCA8,B1,B5 transport xenobiotics from cytosol to extracellular region	GO:0042626
R-HSA-1467466	ABCA4 mediates atRAL transport	GO:0034632
R-HSA-1470009	Phosphorylation of STATs	GO:0004713
R-HSA-1472121	Phosphorylation of p-KIT on Y900 by Src kinases	GO:0004713
R-HSA-1474146	GCH1 reduces GTP to dihydroneopterin triphosphate	GO:0003934
R-HSA-1474158	GCHFR binds to GCH1 and negatively regulates its activity	GO:0004857
R-HSA-1474184	DHNTP is dephosphorylated by PTPS to PTHP	GO:0003874
R-HSA-1474196	Collagen type II degradation by MMP14	GO:0004222
R-HSA-1474197	Collagen type II degradation by MMP1,3,8,13,PRSS2	GO:0004252
R-HSA-1474210	Collagen type III degradation by MMP14	GO:0004222
R-HSA-1474213	Collagen type III degradation by MMP1,8,9,13	GO:0004222
R-HSA-1475017	Carbonic anhydrase dehydrates bicarbonate (plasma membrane)	GO:0004089
R-HSA-1475022	Carbonic anhydrase dehydrates bicarbonate (cytosol)	GO:0004089
R-HSA-1475025	Carbonic anhydrase hydrates carbon dioxide (plasma membrane)	GO:0004089
R-HSA-1475026	Carbonic anhydrase hydrates carbon dioxide (cytosol)	GO:0004089
R-HSA-1475028	Carbonic anhydrase dehydrates bicarbonate (mitochondria)	GO:0004089
R-HSA-1475032	Carbonic anhydrase hydrates carbon dioxide (mitochondria)	GO:0004089
R-HSA-1475414	PTHP is reduced to BH4 by sepiapterin reductase (SPR)	GO:0004757
R-HSA-1475422	PTPS is phosphorylated by cGMP-dependant protein kinase II	GO:0004692
R-HSA-1475435	CA1:Zn2+,CA2:Zn2+ hydrate CO2 to HCO3-	GO:0004089
R-HSA-1475436	CA1:Zn2+,CA2:Zn2+ dehydrate HCO3- to CO2	GO:0004089
R-HSA-1482533	2-acyl LPC is acylated to PC by LPCAT	GO:0047144
R-HSA-1482539	1-acyl LPG is acylated to PG by LPGAT	GO:0003841
R-HSA-1482543	2-MAG is hydrolyzed to fatty acid and glycerol by MGLL	GO:0047372
R-HSA-1482545	2-acyl LPE is hydrolyzed to GPETA by PLA2G4C	GO:0004622
R-HSA-1482546	2-acyl LPG is acylated to PG by CRLS1 (IM)	GO:0047144
R-HSA-1482547	1-acyl LPC is acylated to PC by LPCAT	GO:0003841
R-HSA-1482548	1-acyl LPA is acylated to PA by AGPAT5 (OM)	GO:0003841
R-HSA-1482571	1-acyl LPE is hydrolyzed to GPETA by PLA2G4C	GO:0004622
R-HSA-1482598	1-acyl LPI is acylated to PI by MBOAT7	GO:0003841
R-HSA-1482604	PA is hydrolyzed to 1-acyl LPA by PLA2[1] (OM)	GO:0004623
R-HSA-1482612	2-acyl LPC is hydrolyzed to GPCho by PLA2[8]	GO:0004622
R-HSA-1482626	2-acyl LPI is acylated to PI by MBOAT7	GO:0047144
R-HSA-1482629	2-acyl LPC is hydrolyzed to GPCho by PLA2G4C	GO:0004622
R-HSA-1482635	2-acyl LPG is acylated to PG by LPGAT	GO:0047144
R-HSA-1482636	1-acyl LPS is acylated to PS by LPSAT	GO:0003841
R-HSA-1482646	2-acyl LPE is acylated to PE by LPEAT	GO:0047144
R-HSA-1482647	2-MAG and DAG are transacylated to TAG by PNPLA2/3	GO:0016411
R-HSA-1482654	2-MAG is transacylated to DAG by PNPLA2/3	GO:0016411
R-HSA-1482656	PA is hydrolysed to 1-acyl LPA by PLA2[1]	GO:0004623
R-HSA-1482667	1-acyl LPE is acylated to PE by LPEAT	GO:0003841
R-HSA-1482679	PA is hydrolysed to 1-acyl LPA by PLA2G2A	GO:0004623
R-HSA-1482685	1-acyl LPC is hydrolyzed to GPCho by PLA2[8]	GO:0004622
R-HSA-1482689	1-acyl LPG is acylated to PG by CRLS1 (IM)	GO:0003841
R-HSA-1482691	2-acyl LPS is acylated to PS by LPSAT	GO:0047144
R-HSA-1482695	G3P is acylated to 1-acyl LPA by GPAM/GPAT2 (OM)	GO:0004366
R-HSA-1482696	1-acyl LPC is hydrolyzed to GPCho by PLA2G4C	GO:0004622
R-HSA-1482745	PG is hydrolyzed to 1-acyl LPG by PLA2G4B (IM)	GO:0004623
R-HSA-1482759	MLCL is hydrolyzed to DLCL by PLA2G4A (IM)	GO:0004623
R-HSA-1482771	PS is hydrolyzed to 1-acyl LPS by PLA2[9]	GO:0004623
R-HSA-1482775	MLCL is acylated to CL by HADH (IM)	GO:0008374
R-HSA-1482776	PS is hydrolyzed to 1-acyl LPS by PLA2G2A	GO:0004623
R-HSA-1482777	TAG is hydrolyzed to DAG by PNPLA2/3	GO:0004806
R-HSA-1482778	CL is hydrolyzed to MLCL by PLA2G6 (IM)	GO:0004623
R-HSA-1482781	MLCL and PC are converted to CL and 1-acyl LPC by TAZ (IM) (Reversible)	GO:0008374
R-HSA-1482794	CL and 1-acyl LPC are converted to MLCL and PC by TAZ (IM) (Reversible)	GO:0047184
R-HSA-1482811	DAG is hydrolyzed to 2-MAG by PNPLA2/3	GO:0004465
R-HSA-1482816	PC is hydrolyzed to 1-acyl LPC by PLA2[6]	GO:0004623
R-HSA-1482825	PI is hydrolyzed to 1-acyl LPI by PLA2[11]	GO:0004623
R-HSA-1482827	PC is hydrolyzed to 2-acyl LPC by PLA2G4C	GO:0008970
R-HSA-1482828	PE is hydrolyzed to 2-acyl LPE by PLA2[4]	GO:0008970
R-HSA-1482847	PG is hydrolysed to 2-acyl LPG by PLA2G4B (IM)	GO:0008970
R-HSA-1482850	MLCL and PE are converted to CL and 1-acyl LPE by TAZ (IM) (Reversible)	GO:0008374
R-HSA-1482856	PC is hydrolyzed to 1-acyl LPC by PLA2[5]	GO:0004623
R-HSA-1482861	MLCL is acylated to CL by LCLAT1 (ER)	GO:0008374
R-HSA-1482862	PC is hydrolysed to 2-acyl LPC by PLA2[7]	GO:0008970
R-HSA-1482867	DLCL is acylated to MLCL by LCLAT1 (ER)	GO:0008374
R-HSA-1482868	PI is hydrolyzed to 1-acyl LPI by PLA2[12]	GO:0004623
R-HSA-1482884	PE is hydrolyzed to 1-acyl LPE by PLA2[2]	GO:0004623
R-HSA-1482887	PE is hydrolyzed to 1-acyl LPE by PLA2[3]	GO:0004623
R-HSA-1482889	DAG is acylated to TAG by DGAT1/2	GO:0004144
R-HSA-1482892	PE is hydrolyzed to 2-acyl LPE by PLA2G4C	GO:0008970
R-HSA-1482894	CL and 1-acyl LPE are converted to MLCL and PE by TAZ (IM) (Reversible)	GO:0003841
R-HSA-1482897	PS is hydrolyzed to 2-acyl LPS by PLA2[10]	GO:0004623
R-HSA-1482900	PG is hydrolyzed to 1-acyl LPG by PLA2[1]	GO:0004623
R-HSA-1482907	PG is hydrolyzed to 1-acyl LPG by PLA2G2A	GO:0004623
R-HSA-1482920	PG is hydrolyzed to 2-acyl LPG by PLA2[14]	GO:0008970
R-HSA-1482932	PI is hydrolyzed to 2-acyl LPI by PLA2[13]	GO:0008970
R-HSA-1482939	CDP-DAG is converted to PGP by PGS1	GO:0008444
R-HSA-1482961	CDP-Cho and DAG are converted to PC by CEPT1 at the ER membrane	GO:0004142
R-HSA-1482962	CDP-ETA and DAG are converted to PE by CEPT1/EPT1	GO:0004307
R-HSA-1482973	CDP-Cho and DAG are converted to PC by CHPT1 at the Golgi membrane	GO:0004142
R-HSA-1482976	CDP-DAG is converted to PI by CDIPT	GO:0003881
R-HSA-1483002	DHAP is converted to 1-acyl GO3P by GNPAT	GO:0016287
R-HSA-1483004	Cho is phosphorylated to PCho by CHK dimer	GO:0004103
R-HSA-1483063	PG and CDP-DAG are converted to CL by CRLS1	GO:0043337
R-HSA-1483081	PCho and CTP are condensed to CDP-Cho by PCYT1 dimer	GO:0004105
R-HSA-1483087	PI is exchanged with PC by PITPNB	GO:0120019
R-HSA-1483089	PE is converted to PS by PTDSS2	GO:0016740
R-HSA-1483096	PETA is dephosphorylated to ETA by PHOSPHO1	GO:0052732
R-HSA-1483107	GPETA is hydrolyzed to ETA and G3P by GPCPD1	GO:0008889
R-HSA-1483116	GPCho is hydrolyzed to Cho and G3P by GPCPD1	GO:0008889
R-HSA-1483121	PA is converted to CDP-DAG by CDS1	GO:0004605
R-HSA-1483142	PC is transphosphatidylated to PG by PLD1-4/6	GO:0004630
R-HSA-1483159	PCho is dephosphorylated to Cho by PHOSPHO1	GO:0052731
R-HSA-1483165	PA is converted to CDP-DAG by CDS2	GO:0004605
R-HSA-1483174	PE is methylated to PC by PEMT	GO:0004608
R-HSA-1483182	PC is hydrolyzed to PA and choline by PLD1/2	GO:0004630
R-HSA-1483186	PC is converted to PS by PTDSS1	GO:0016740
R-HSA-1483190	PETA and CTP are condensed to CDP-ETA by PCY2	GO:0004306
R-HSA-1483197	PTPMT1 dephosphorylates PGP to PG	GO:0008962
R-HSA-1483203	PA is dephosphorylated to DAG by LPIN	GO:0008195
R-HSA-1483211	PC:PITPNB is transported from the Golgi membrane to the ER membrane	GO:0120019
R-HSA-1483212	PS is decarboxylated to PE by PISD	GO:0004609
R-HSA-1483219	PC is exchanged with PI by PITPNB	GO:0120019
R-HSA-1483222	ETA is phosphorylated to PETA by CHK/ETNK	GO:0004305
R-HSA-1483229	PI:PITPNB is transported from the ER membrane to the Golgi membrane	GO:0008526
R-HSA-1497784	The cofactor BH4 is required for electron transfer in the eNOS catalytic cycle	GO:0034617
R-HSA-1497794	Salvage - BH2 is reduced to BH4 by DHFR	GO:0004146
R-HSA-1497796	BH2 binding can lead to eNOS uncoupling	GO:0034617
R-HSA-1497810	Uncoupled eNOS favours the formation of superoxide	GO:0016175
R-HSA-1497853	Sepiapterin reductase (SPR) is phosphorylated by Ca2+/calmodulin-dependent protein kinase II	GO:0004692
R-HSA-1497869	Salvage - Sepiapterin is reduced to q-BH2	GO:0004757
R-HSA-1500781	Fgd1 reactivates F420	GO:0016614
R-HSA-1500804	Peroxynitrite is reduced by AhpE	GO:0051920
R-HSA-1500817	Glutathione is taken up by the bacterium	GO:1904680
R-HSA-1504190	DVL is ubiquitinated by CUL3:KLHL12:RBX1	GO:0061630
R-HSA-1504193	Ubiquitinated DVL is degraded by the proteasome	GO:0004175
R-HSA-1524186	Phosphorylation of PLCgamma by PDGFR	GO:0004713
R-HSA-1549526	Phosphorylation of SMAD2,3 by Activin:Activin Receptor	GO:0004674
R-HSA-1549564	PPTN11 dephosphorylates SPRY2	GO:0004725
R-HSA-1562603	BfrB stores iron	GO:0004322
R-HSA-1562604	BfrA stores iron	GO:0004322
R-HSA-1562626	Ferritin Complex oxidises 4Fe2+ to Fe(3+)O(OH)	GO:0004322
R-HSA-1564112	Collagen type VI degradation by MMP2,9,11	GO:0004222
R-HSA-1564117	Collagen type XIV degradation by MMP9,13	GO:0004222
R-HSA-1564120	Collagen type VII degradation by MMP1,2,3	GO:0004222
R-HSA-1564142	Collagen type IV degradation by MMP2,3,4,9,10,12	GO:0004222
R-HSA-1564143	Collagen type X degradation by MMP1,2	GO:0004222
R-HSA-1564164	Collagen type V degradation by MMP2,9,10	GO:0004222
R-HSA-1564169	Collagen type VIII degradation by MMP1	GO:0004222
R-HSA-1564179	Collagen type XI degradation by MMP1,2,3,9	GO:0004222
R-HSA-1564184	Collagen type IX degradation by MMP3,13	GO:0004222
R-HSA-156526	CYP1A2,3A4,3A5,2A13 oxidise AFB1 to AFXBO	GO:0004497
R-HSA-156673	Regulation of KIF23 (MKLP1) by phosphorylation	GO:0004674
R-HSA-156678	Activation of Cdc25C	GO:0004674
R-HSA-156682	PLK1 phosphorylates NUDC	GO:0004674
R-HSA-1566962	Elastin degradation by elastin-degrading extracellular proteinases	GO:0004252
R-HSA-1566979	Laminin-332 degradation by laminin-322 degrading extracellular proteinases	GO:0004252
R-HSA-1566981	Fibronectin degradation by MMP1, 3, 7, 12, 13, 19, CTSS	GO:0004252
R-HSA-156699	Inactivation of Wee1 kinase	GO:0004674
R-HSA-156723	Regulation of KIF20A (MKL2) by phosphorylation	GO:0004674
R-HSA-156832	INF-gamma induced phosphorylation of L13a	GO:0004672
R-HSA-156909	eEF1A complexes with GTP	GO:0019001
R-HSA-156912	Peptide transfer from P-site tRNA to the A-site tRNA	GO:0000048
R-HSA-156913	Regeneration of eEF1A:GTP by eEF1B activity	GO:0005085
R-HSA-156923	Hydrolysis of eEF1A:GTP	GO:0003924
R-HSA-157353	NEXT1 is cleaved to produce NICD1	GO:0004190
R-HSA-157629	NOTCH2-ligand complex is cleaved to produce NEXT2	GO:0008237
R-HSA-157632	Complex of NOTCH1 with its ligand is cleaved to produce NEXT1	GO:0008237
R-HSA-157640	NEXT2 is cleaved to produce NICD2	GO:0004190
R-HSA-158137	factor VIII:von Willibrand factor multimer -> factor VIIIa + factor VIIIa B A3 acidic polypeptide + von Willibrand factor multimer	GO:0004252
R-HSA-158164	factor X -> factor Xa + factor X activation peptide (VIIIa:IXa catalyst)	GO:0004252
R-HSA-158300	factor XI:platelet glycoprotein (GP) Ib:IX:V complex -> factor XIa:platelet glycoprotein (GP) Ib:IX:V complex (XIIa catalyst)	GO:0004252
R-HSA-158313	factor XII -> factor XIIa	GO:0004252
R-HSA-158333	factor IX -> factor IXa + factor IX activation peptide (factor XIa catalyst)	GO:0004252
R-HSA-158419	factor XI:platelet glycoprotein (GP) Ib:IX:V complex -> factor XIa:platelet glycoprotein (GP) Ib:IX:V complex (thrombin catalyst)	GO:0004252
R-HSA-158468	SULT1A1 dimer sulfonates PARA to PARA-SO4	GO:0004062
R-HSA-158546	UGTs glucuronate APAP to APAP-GlcA	GO:0015020
R-HSA-158609	TPMT transfers CH3 from AdoMet to 6MP	GO:0008119
R-HSA-158744	crosslinked fibrin multimer:tissue plasminogen activator (two-chain):plasminogen -> crosslinked fibrin multimer:tissue plasminogen activator (two-chain) + plasmin	GO:0004252
R-HSA-158747	crosslinked fibrin multimer:tissue plasminogen activator (one-chain) -> crosslinked fibrin multimer:tissue plasminogen activator (two-chain)	GO:0004252
R-HSA-158750	crosslinked fibrin multimer:tissue plasminogen activator (one-chain):plasminogen -> crosslinked fibrin multimer:tissue plasminogen activator (one-chain) + plasmin	GO:0004252
R-HSA-158766	fibrin multimer, crosslinked -> fibrin digestion products (plasmin)	GO:0004252
R-HSA-158795	fibrin multimer, crosslinked:tissue plasminogen activator (one-chain) + plasminogen activator inhibitor 1 -> fibrin multimer, crosslinked:tissue plasminogen activator (one-chain):plasminogen activator inhibitor 1	GO:0004867
R-HSA-158800	fibrin multimer, crosslinked:tissue plasminogen activator (two-chain) + plasminogen activator inhibitor 1 -> fibrin multimer, crosslinked:tissue plasminogen activator (two-chain):plasminogen activator inhibitor 1	GO:0004867
R-HSA-158832	The acetyl group from acetyl-CoA is transferred to NAT2	GO:0019707
R-HSA-158849	Phenol can form a sulfate conjugate	GO:0004062
R-HSA-158860	SULT1A1 dimer sulfonates NHABP	GO:0004062
R-HSA-158893	alpha-2-antiplasmin + plasmin -> alpha-2-antiplasmin:plasmin	GO:0004867
R-HSA-158925	plasminogen:histidine-rich glycoprotein -> plasmin + histidine-rich glycoprotein (uPA [two-chain] catalyst)	GO:0004252
R-HSA-158942	urokinase plasminogen activator (one-chain):uPAR -> urokinase plasminogen activator (two-chain):uPAR	GO:0004252
R-HSA-158982	plasminogen:histidine-rich glycoprotein -> plasmin + histidine-rich glycoprotein (uPA [one-chain] catalyst)	GO:0004252
R-HSA-159001	urokinase plasminogen activator (two-chain):uPAR + plasminogen activator inhibitor 2 (PAI-2) -> PAI-2:urokinase plasminogen activator (two-chain):uPAR	GO:0004867
R-HSA-159005	urokinase plasminogen activator (two-chain):uPAR + plasminogen activator inhibitor 1 (PAI-1) -> PAI-1:urokinase plasminogen activator (two-chain):uPAR	GO:0004867
R-HSA-159101	NXF1:NXT1 (TAP:p15) binds capped mRNA:CBC:EJC:TREX (minus DDX39B)	GO:0016887
R-HSA-159179	UGT1A4 transfers GlcA from UDP-GlcA to BMG to form BDG	GO:0015020
R-HSA-159194	UGT1A4 transfers GlcA from UDP-GlcA to BIL to form BMG	GO:0015020
R-HSA-1592233	p38 MAPK phosphorylates PPARGC1A	GO:0004674
R-HSA-1592244	AMPK phosphorylates PPARGC1A	GO:0004679
R-HSA-1592270	NID1 degradation by MMP1, 9, 12, ELANE	GO:0004252
R-HSA-1592278	Autocatalytic activation of proMMP2	GO:0004252
R-HSA-1592297	Full activation of MMP1	GO:0004252
R-HSA-1592310	Aggrecan degradation by ADAMTSs	GO:0004222
R-HSA-1592314	HSPG2 (perlecan) degradation by MMP3, plasmin, (MMP12)	GO:0004252
R-HSA-1592316	Initial activation of proMMP1	GO:0004252
R-HSA-1592362	Activation of proMMP7 by MMP3	GO:0004252
R-HSA-1592371	Initial activation of proMMP3	GO:0004252
R-HSA-1592398	Activation of proMMP8	GO:0004252
R-HSA-1592436	Initial activation of proMMP9 by MMPs	GO:0004252
R-HSA-159358	SULT1A3,4 dimers sulfate DA to DAOS	GO:0004062
R-HSA-159425	Cytosolic cholate and chenodeoxycholate are conjugated with Coenzyme A (SLC27A5 BACS)	GO:0004467
R-HSA-159431	Cytosolic chenodeoxycholoyl-CoA or choloyl-CoA are conjugated with glycine or taurine	GO:0016746
R-HSA-159443	benzoate + Coenzyme A + ATP => benzoyl-CoA + AMP + pyrophosphate	GO:0016405
R-HSA-159566	benzoyl-CoA + glycine => benzoyl glycine (hippuric acid) + Coenzyme A	GO:0047962
R-HSA-159567	ACSM2B-like proteins transform ST to ST-CoA	GO:0016405
R-HSA-159574	GLYAT-like proteins transfer glycine to ST-CoA to form SUA	GO:0047962
R-HSA-159728	Furin cleaves pro-prothrombin to prothrombin	GO:0004252
R-HSA-159733	Furin cleaves pro-factor X to factor X	GO:0004252
R-HSA-159752	GGCX gamma-carboxylates PROS1(25-676) (pro-protein S)	GO:0008488
R-HSA-159761	GGCX gamma-carboxylates F7(21-466) (pro-factor VII)	GO:0008488
R-HSA-159771	Furin cleaves pro-protein C to protein C	GO:0004252
R-HSA-159773	Furin cleaves pro-protein S to protein S	GO:0004252
