interaction_type|label|reactome_pathway|source|source_id|source_type|source_url|target_id|target_type
physical association|interacts_with|R-HSA-3899294|Reactome|P55854|protein|https://reactome.org/|P61956|protein
physical association|interacts_with|R-HSA-3899294|Reactome|P55854|protein|https://reactome.org/|P55854|protein
physical association|interacts_with|R-HSA-5672710|Reactome|P15056|protein|https://reactome.org/|P31946|protein
physical association|interacts_with|R-HSA-8944351|Reactome|Q04726|protein|https://reactome.org/|Q9NQB0|protein
physical association|interacts_with|R-HSA-8944351|Reactome|Q04725|protein|https://reactome.org/|Q9NQB0|protein
physical association|interacts_with|R-HSA-8944351|Reactome|Q04724|protein|https://reactome.org/|Q9NQB0|protein
physical association|interacts_with|R-HSA-8944351|Reactome|Q04724|protein|https://reactome.org/|Q9UJU2|protein
physical association|interacts_with|R-HSA-8944351|Reactome|Q04727|protein|https://reactome.org/|Q9NQB0|protein
physical association|interacts_with|R-HSA-8944351|Reactome|Q04726|protein|https://reactome.org/|Q9UJU2|protein
physical association|interacts_with|R-HSA-8944351|Reactome|Q04727|protein|https://reactome.org/|Q9UJU2|protein
physical association|interacts_with|R-HSA-8944351|Reactome|Q04725|protein|https://reactome.org/|Q9UJU2|protein
physical association|interacts_with|R-HSA-8944365|Reactome|Q13547|protein|https://reactome.org/|Q9UJU2|protein
physical association|interacts_with|R-HSA-8944365|Reactome|Q13547|protein|https://reactome.org/|Q04727|protein
physical association|interacts_with|R-HSA-8944365|Reactome|Q13547|protein|https://reactome.org/|Q04725|protein
physical association|interacts_with|R-HSA-8944365|Reactome|Q13547|protein|https://reactome.org/|Q04724|protein
physical association|interacts_with|R-HSA-8944365|Reactome|Q13547|protein|https://reactome.org/|Q04726|protein
physical association|interacts_with|R-HSA-8944365|Reactome|Q13547|protein|https://reactome.org/|Q9NQB0|protein
physical association|interacts_with|R-HSA-453360|Reactome|P46976|protein|https://reactome.org/|P46976|protein
physical association|interacts_with|R-HSA-453365|Reactome|O15488|protein|https://reactome.org/|O15488|protein
physical association|interacts_with|R-HSA-9733208|Reactome|P84022|protein|https://reactome.org/|Q09472|protein
physical association|interacts_with|R-HSA-9733208|Reactome|Q09472|protein|https://reactome.org/|P08047|protein
physical association|interacts_with|R-HSA-9733208|Reactome|Q13485|protein|https://reactome.org/|P08047|protein
physical association|interacts_with|R-HSA-9733208|Reactome|P84022|protein|https://reactome.org/|P08047|protein
physical association|interacts_with|R-HSA-9733208|Reactome|Q13485|protein|https://reactome.org/|Q09472|protein
physical association|interacts_with|R-HSA-170656|Reactome|P38405|protein|https://reactome.org/|P04899|protein
physical association|interacts_with|R-HSA-170656|Reactome|P38405|protein|https://reactome.org/|A8MTJ3|protein
physical association|interacts_with|R-HSA-170656|Reactome|P38405|protein|https://reactome.org/|P63096|protein
physical association|interacts_with|R-HSA-170656|Reactome|P38405|protein|https://reactome.org/|P08754|protein
physical association|interacts_with|R-HSA-9634904|Reactome|REACTOME:R-HSA-9634908|protein|https://reactome.org/|O00327|protein
physical association|interacts_with|R-HSA-9634904|Reactome|REACTOME:R-HSA-9634908|protein|https://reactome.org/|Q8IUM7|protein
physical association|interacts_with|R-HSA-6790530|Reactome|P49005|protein|https://reactome.org/|P35244|protein
physical association|interacts_with|R-HSA-6790530|Reactome|Q9UBT6|protein|https://reactome.org/|P27694|protein
physical association|interacts_with|R-HSA-6790530|Reactome|Q15054|protein|https://reactome.org/|P27694|protein
physical association|interacts_with|R-HSA-6790530|Reactome|P12004|protein|https://reactome.org/|P35244|protein
physical association|interacts_with|R-HSA-6790530|Reactome|P28340|protein|https://reactome.org/|P35244|protein
physical association|interacts_with|R-HSA-6790530|Reactome|Q9UBT6|protein|https://reactome.org/|P35244|protein
physical association|interacts_with|R-HSA-6790530|Reactome|Q9HCU8|protein|https://reactome.org/|P15927|protein
physical association|interacts_with|R-HSA-6790530|Reactome|Q9HCU8|protein|https://reactome.org/|P27694|protein
physical association|interacts_with|R-HSA-6790530|Reactome|Q9UBT6|protein|https://reactome.org/|P15927|protein
physical association|interacts_with|R-HSA-6790530|Reactome|Q9HCU8|protein|https://reactome.org/|P35244|protein
physical association|interacts_with|R-HSA-6790530|Reactome|Q15054|protein|https://reactome.org/|P15927|protein
physical association|interacts_with|R-HSA-6790530|Reactome|P12004|protein|https://reactome.org/|P15927|protein
physical association|interacts_with|R-HSA-6790530|Reactome|Q15054|protein|https://reactome.org/|P35244|protein
physical association|interacts_with|R-HSA-6790530|Reactome|P12004|protein|https://reactome.org/|P27694|protein
physical association|interacts_with|R-HSA-6790530|Reactome|P49005|protein|https://reactome.org/|P27694|protein
physical association|interacts_with|R-HSA-6790530|Reactome|P28340|protein|https://reactome.org/|P27694|protein
physical association|interacts_with|R-HSA-6790530|Reactome|P49005|protein|https://reactome.org/|P15927|protein
physical association|interacts_with|R-HSA-6790530|Reactome|P28340|protein|https://reactome.org/|P15927|protein
physical association|interacts_with|R-HSA-5690478|Reactome|REACTOME:R-ALL-109961|protein|https://reactome.org/|P35244|protein
physical association|interacts_with|R-HSA-5690478|Reactome|REACTOME:R-ALL-109961|protein|https://reactome.org/|Q9HCU8|protein
physical association|interacts_with|R-HSA-5690478|Reactome|REACTOME:R-ALL-109961|protein|https://reactome.org/|P12004|protein
physical association|interacts_with|R-HSA-5690478|Reactome|REACTOME:R-ALL-109961|protein|https://reactome.org/|P15927|protein
physical association|interacts_with|R-HSA-5690478|Reactome|REACTOME:R-ALL-109961|protein|https://reactome.org/|P27694|protein
physical association|interacts_with|R-HSA-5690478|Reactome|REACTOME:R-ALL-109961|protein|https://reactome.org/|P49005|protein
physical association|interacts_with|R-HSA-5690478|Reactome|REACTOME:R-ALL-109961|protein|https://reactome.org/|Q15054|protein
physical association|interacts_with|R-HSA-5690478|Reactome|REACTOME:R-ALL-109961|protein|https://reactome.org/|P28340|protein
physical association|interacts_with|R-HSA-5690478|Reactome|REACTOME:R-ALL-109961|protein|https://reactome.org/|Q9UBT6|protein
physical association|interacts_with|R-HSA-5690470|Reactome|REACTOME:R-HSA-110340|protein|https://reactome.org/|P28340|protein
physical association|interacts_with|R-HSA-5690470|Reactome|REACTOME:R-HSA-110340|protein|https://reactome.org/|P12004|protein
physical association|interacts_with|R-HSA-5690470|Reactome|REACTOME:R-HSA-110340|protein|https://reactome.org/|P35244|protein
physical association|interacts_with|R-HSA-5690470|Reactome|REACTOME:R-HSA-110340|protein|https://reactome.org/|Q9UBT6|protein
physical association|interacts_with|R-HSA-5690470|Reactome|REACTOME:R-HSA-110340|protein|https://reactome.org/|Q15054|protein
physical association|interacts_with|R-HSA-5690470|Reactome|REACTOME:R-HSA-110340|protein|https://reactome.org/|P27694|protein
physical association|interacts_with|R-HSA-5690470|Reactome|REACTOME:R-HSA-110340|protein|https://reactome.org/|Q9HCU8|protein
physical association|interacts_with|R-HSA-5690470|Reactome|REACTOME:R-HSA-110340|protein|https://reactome.org/|P49005|protein
physical association|interacts_with|R-HSA-5690470|Reactome|REACTOME:R-HSA-110340|protein|https://reactome.org/|P15927|protein
physical association|interacts_with|R-HSA-9700012|Reactome|P23471|protein|https://reactome.org/|P21246|protein
physical association|interacts_with|R-HSA-9700012|Reactome|P23471|protein|https://reactome.org/|P21741|protein
physical association|interacts_with|R-HSA-9700009|Reactome|P21741|protein|https://reactome.org/|P21246|protein
physical association|interacts_with|R-HSA-9700009|Reactome|P23471|protein|https://reactome.org/|P23471|protein
physical association|interacts_with|R-HSA-9700009|Reactome|P21741|protein|https://reactome.org/|P21741|protein
physical association|interacts_with|R-HSA-9700009|Reactome|P21246|protein|https://reactome.org/|P21246|protein
physical association|interacts_with|R-HSA-5218909|Reactome|Q8NB16|protein|https://reactome.org/|Q13546|protein
physical association|interacts_with|R-HSA-5218909|Reactome|Q8NB16|protein|https://reactome.org/|Q9Y572|protein
physical association|interacts_with|R-HSA-9710314|Reactome|REACTOME:R-HSA-9710319|protein|https://reactome.org/|P04637|protein
physical association|interacts_with|R-HSA-9710314|Reactome|REACTOME:R-HSA-9710319|protein|https://reactome.org/|Q9H3D4|protein
physical association|interacts_with|R-HSA-6800835|Reactome|REACTOME:R-HSA-6800819|protein|https://reactome.org/|P04637|protein
physical association|interacts_with|R-HSA-6800835|Reactome|REACTOME:R-HSA-6800819|protein|https://reactome.org/|Q9H3D4|protein
physical association|interacts_with|R-HSA-6799788|Reactome|Q96KQ4|protein|https://reactome.org/|Q9H3D4|protein
physical association|interacts_with|R-HSA-6799788|Reactome|Q13625|protein|https://reactome.org/|P04637|protein
physical association|interacts_with|R-HSA-6799788|Reactome|Q13625|protein|https://reactome.org/|Q9H3D4|protein
physical association|interacts_with|R-HSA-6799788|Reactome|Q96KQ4|protein|https://reactome.org/|O15350|protein
physical association|interacts_with|R-HSA-6799788|Reactome|Q96KQ4|protein|https://reactome.org/|P04637|protein
physical association|interacts_with|R-HSA-6799788|Reactome|Q13625|protein|https://reactome.org/|O15350|protein
physical association|interacts_with|R-HSA-3700978|Reactome|REACTOME:R-HSA-3700977|protein|https://reactome.org/|Q13625|protein
physical association|interacts_with|R-HSA-3700978|Reactome|REACTOME:R-HSA-3700977|protein|https://reactome.org/|O15350|protein
physical association|interacts_with|R-HSA-3700978|Reactome|REACTOME:R-HSA-3700977|protein|https://reactome.org/|Q96KQ4|protein
physical association|interacts_with|R-HSA-3700978|Reactome|REACTOME:R-HSA-3700977|protein|https://reactome.org/|Q9H3D4|protein
physical association|interacts_with|R-HSA-3700978|Reactome|REACTOME:R-HSA-3700977|protein|https://reactome.org/|P04637|protein
physical association|interacts_with|R-HSA-4331345|Reactome|REACTOME:R-HSA-4331320|protein|https://reactome.org/|Q13625|protein
physical association|interacts_with|R-HSA-4331345|Reactome|REACTOME:R-HSA-4331320|protein|https://reactome.org/|P04637|protein
physical association|interacts_with|R-HSA-4331345|Reactome|REACTOME:R-HSA-4331320|protein|https://reactome.org/|Q96KQ4|protein
physical association|interacts_with|R-HSA-4331345|Reactome|REACTOME:R-HSA-4331320|protein|https://reactome.org/|Q9H3D4|protein
physical association|interacts_with|R-HSA-4331345|Reactome|REACTOME:R-HSA-4331320|protein|https://reactome.org/|O15350|protein
physical association|interacts_with|R-HSA-6799810|Reactome|REACTOME:R-HSA-6799817|protein|https://reactome.org/|O15350|protein
physical association|interacts_with|R-HSA-6799810|Reactome|REACTOME:R-HSA-6799817|protein|https://reactome.org/|Q96KQ4|protein
physical association|interacts_with|R-HSA-6799810|Reactome|REACTOME:R-HSA-6799817|protein|https://reactome.org/|Q9H3D4|protein
