ncbi_gene_id	gene_symbol	association_type	disease_id	source
NCBIGene:81570	CLPB	UNKNOWN	ORPHA:486	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:50484	RRM2B	UNKNOWN	ORPHA:480	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5111	PCNA	UNKNOWN	ORPHA:438134	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7314	UBB	UNKNOWN	ORPHA:99771	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7314	UBB	UNKNOWN	ORPHA:99772	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1654	DDX3X	UNKNOWN	ORPHA:457260	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1938	EEF2	UNKNOWN	ORPHA:101112	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:55703	POLR3B	UNKNOWN	ORPHA:85186	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:51360	MBTPS2	UNKNOWN	ORPHA:2273	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:2253	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:60	ACTB	UNKNOWN	ORPHA:673556	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1387	CREBBP	UNKNOWN	ORPHA:592574	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4869	NPM1	UNKNOWN	ORPHA:1775	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1387	CREBBP	UNKNOWN	ORPHA:370026	http://www.orphadata.org/data/xml/en_product6.xml
